name,adcode
桂花岗,440100
万家丽南路,430100
廊下,310000
两路口,500000
和平里,110000
园岭,440300
洪河,510100
大金钟,440100
河西大学城,430100
东塘,430100
金润金纺,210200
黄花岗,440100
南浦,440100
昆山,310000
双榆树,110000
浣花溪,510100
南郊公园,430100
石马河,500000
精武镇,120000
广电,430100
五常,330100
闲林,330100
观音桥,500000
李桥,110000
石厦,440300
外光华,510100
商学院,430100
莲坂,350200
钱江新城,330100
毛线沟,500000
望海楼,120000
德胜门,110000
南沙滩,110000
五大花园,510100
长河,330100
镇江路,370200
四公里,500000
体育场,210200
枫泾,310000
青山其它,420100
翡翠城,330100
第三大街,120000
朝阳门内,110000
世纪城,110000
中央别墅区,110000
房山其它,110000
合江亭,510100
武侯祠,510100
新北,510100
和平广场,210200
红凌路,210200
横岗,440300
金山,310000
前进江汉,420100
临河里,110000
奥体,320100
三官堂,510100
金碧,440100
开发东区,440100
棠梨,210200
汇金华夏,210200
小珠山,370200
空港新城,500000
南湖,440100
财富中心,500000
安宁庄,110000
竞舟,330100
萧山城区,330100
吕巷,310000
吴山,330100
建宁路,320100
长乐路,320100
二沙岛,440100
罗湖口岸,440300
黄土岭,430100
将军路,420100
大胡同,120000
右安门外,110000
红牌楼,510100
双流城区,510100
白龙潭,330100
古荡,330100
碧海尚城,210200
凤凰谷,330100
文教,330100
山前大道,440100
华南,440100
陈家桥,500000
西堤头,120000
杭州道,120000
官园,110000
百家湖,320100
山阳,310000
华科大,420100
蜀汉路,510100
临安商圈,330100
西南交大,510100
西姜,370200
书院路,430100
钻石湾,210200
向应古城,210200
天泰,370200
三条石,120000
西丽,440300
广福桥,510100
公明,440300
草市街,510100
万象城,510100
薛家岛,370200
雨花亭,430100
会展中心,350200
集美其它,350200
石人小区,510100
中德,510100
宽窄巷子,510100
航空港,510100
东风西,440100
芳草,510100
大丰,510100
龙口西,440100
张堰,310000
东李,370200
崂山CBD,370200
唐岛湾,370200
长寿,500000
广安门,110000
岳各庄,110000
铁心桥,320100
远大,510100
兴北镇,440100
中南路,210200
红梅,210200
浮山,330100
大清谷,330100
长寿桥,330100
翁梅,330100
午山,370200
融侨半岛,500000
朱泾,310000
葡萄牙,310000
华侨城,420100
杨家湾,420100
潮鸣,330100
良渚,330100
大学路,370200
小龙坎,500000
灯市口,110000
国展,110000
潘家园,110000
皂君庙,110000
蒲黄榆,110000
武侯立交,510100
花牌坊,510100
东山口,440100
水荫,440100
钟村,440100
石井,440100
白云新村,210200
连大光明,210200
高教园区西,330100
华亭,310000
径山,330100
李家沱,500000
站西路,500000
学府街,120000
雨花台其它,320100
水碾河,510100
阳光城,510100
麓景,440100
东塱,440100
大石,440100
南关岭,210200
石湖荡,310000
北山,330100
九莲,330100
汽车北站,330100
清波,330100
毗河,510100
华景新城,440100
长洲岛,440100
西二旗,110000
南山路,350200
珠江新城西,440100
人民北,440100
龙头寺,500000
石佛营,110000
崇明其它,310000
西北湖,420100
翠苑,330100
盐市口,510100
衣冠庙,510100
航天,510100
粤垦,440100
开发西区,440100
泡崖魅力,210200
东南山,370200
大光路,320100
堡镇,310000
后湖,420100
塘栖,330100
月坛,110000
抚琴小区,510100
窑岭,430100
仁和,330100
朝阳门外,110000
五塘广场,320100
黄沙,440100
灵隐,330100
东新,330100
笕桥,330100
大尧,370200
长虹街,120000
铁东路,120000
华明镇,120000
燕莎,110000
草场门大街,320100
红光,510100
橡树湾,510100
东风东,440100
荔湾路,440100
景山,210200
上杭路,120000
观音寺,110000
滨江中,440100
狮岭,440100
柳林街,120000
北关,110000
黄岛港,370200
大石坝,500000
小白楼,120000
第四大街,120000
西四,110000
杨庄,110000
玉泉路,110000
顺义其它,110000
李家沱,510100
珠江新城中,440100
人民路,440100
金三角,210200
沙湖,420100
福田中心,440300
赤岗冲,430100
梅溪湖南岸,430100
武泰闸,420100
临平山北,330100
星桥,330100
转塘,330100
万新村,120000
军粮城,120000
铁道学院,430100
促进路,210200
四桥南,330100
亚运村,110000
南口,110000
泡崖市场,210200
福建路,320100
万寿,320100
江北嘴,500000
石景山其它,110000
将军大道,320100
五一广场,430100
高唐,440100
西村,440100
福和镇,440100
小楼镇,440100
正果镇,440100
泖港,310000
西溪,330100
五道口,110000
辛庄,120000
百子湾,110000
北大地,110000
潞苑,110000
龙泉驿城区,510100
东湖,440100
白云大道南,440100
二七,420100
李村公园,370200
汽车东站,370200
金陵小区,320100
华西,510100
汾水,440100
堤角,420100
德胜,330100
章太炎,330100
大寺,120000
马巷,350200
西南财大,510100
中和,510100
文星镇,510100
盘福,440100
台北香港路,420100
申花,330100
东方影都,370200
天塔街,120000
永定门,110000
茶南,320100
沙河堡,510100
桐梓坡,430100
北辰三角洲,430100
大营盘,330100
丁桥,330100
三峡广场,500000
红庙,110000
西单,510100
新贵都,370200
西坝河,110000
乔司,330100
亲亲家园,330100
勾庄,330100
黄村火车站,110000
岳麓其他,430100
英国,310000
太湖新城（吴中）,320500
老鸦岭,370200
黄岛区政府,370200
回兴,500000
四季青,110000
科技园区,110000
朝天宫,320100
府南新区,510100
神仙树,510100
九里堤,510100
国色天香,510100
东莞庄,440100
员村,440100
杨箕,440100
韶山南路,430100
大学城北,330100
袁家岗,500000
猛追湾,510100
山东路,210200
唐山街,210200
黄村北,110000
阎村,110000
沙太北,440100
从化,440100
永和,440100
东湖东亭,420100
七里庙,420100
太仓,320500
南泉,500000
七里庄,110000
燕山,110000
密云其它,110000
一品天下,510100
蛟龙港,510100
工业大道南,440100
汽车东站,430100
黑石礁,210200
布吉,440300
建国门外,110000
上地,110000
大面,510100
新都城区,510100
朝阳其它,110000
小北,440100
大兴其它,110000
燕子矶,320100
桂花村,430100
叶榭,310000
东冠,330100
绿城,370200
笋岗,440300
沙湾,510100
官洲,440100
阳光100,430100
兴隆大街,320100
宝岗,440100
珞喻东,420100
十里铺,420100
现代,330100
公主坟,110000
暮云,430100
七堡,330100
和睦,330100
瓶窑,330100
越秀路,120000
二号桥街,120000
宝丰,420100
天山银海,370200
北太平庄,110000
高家庄,510100
星海广场,210200
桂花城,330100
龙井虎跑,330100
万寿路,110000
北苑,110000
麒麟镇,320100
大源,510100
海宁,330100
滨江商务区,420100
建昌道,120000
邵公庄,120000
新河街,120000
金星中路,430100
泉水,210200
近江,330100
钱江世纪城,330100
龙洲湾,500000
天河南,440100
芙蓉镇,440100
九堡科技园,330100
雄镇楼,330100
崇贤,330100
良渚新城,330100
世园会,370200
汽博中心,500000
西单,110000
北京南站,110000
西三旗,110000
和义,110000
五缘湾,350200
松岗,440300
西门口,440100
前进路,440100
农业大学,370200
体育中心街,120000
光复道,120000
农展馆,110000
书院路,370200
照母山,500000
安定门,110000
望京,110000
莲花,510100
簇桥,510100
万家湾,510100
龙潭寺,510100
滨江东,440100
芙蓉区政府,430100
幸福e家,210200
塔子湖,420100
三墩北,330100
陈家坪,500000
皇岗,440300
科学城,440100
鹦鹉大道,420100
大关,330100
中山门街,120000
后海,440300
岑村,440100
龙洞,440100
鹤洞,440100
旧区,440100
榄核镇,440100
震泽,320500
华丰,330100
同安路,370200
西营门,120000
颐和园,110000
朝晖,330100
世纪公园,370200
上清寺,500000
垡头,110000
亦庄,110000
东站,440100
亚运大道中,440100
机场,210200
大坪,500000
四方坪,430100
厦港,350200
华强北,440300
越秀南,440100
新市,440100
晚报,430100
东门,440300
东单,110000
东苑,510100
青云街,210200
流溪河半岛,440100
新垦镇,440100
科技城,320500
鼓楼,330100
唐家口,120000
大山子,110000
芍药居,110000
马群,320100
布心,440300
祈福,440100
三八,210200
老港镇,310000
积玉桥,420100
和平大道,420100
江堤,420100
阳山生态区,320500
西湖文化广场,330100
都市水乡,330100
南市,120000
西于庄,120000
龙泽,110000
马坡,110000
杏林区,350200
十陵,510100
琶洲,440100
新区,440100
绿波,210200
大菜市,210200
双桥,110000
景田,440300
北滨路,500000
春华街,120000
城子,110000
松柏,350200
街道口,420100
埠东,370200
大王庄,120000
牛街,110000
甘家口,110000
太平桥,110000
九眼桥,510100
左家塘,430100
练塘,310000
三元桥,110000
怀柔,110000
海洋公园,510100
市桥,440100
北仓镇,120000
第五大街,120000
看丹桥,110000
雷锋镇,430100
溁湾镇,430100
昌平其它,110000
留下,330100
城北体育公园,330100
沙河,110000
同安区,350200
军博,110000
上下沙,440300
漕湖产业开发区,320500
闸弄口,330100
铃铛阁,120000
牡丹园,110000
东关,110000
外双楠,510100
西场,440100
宝安中心,440300
复兴村,420100
渝碚路,500000
太阳城,120000
轮渡,350200
铁路西,440100
西安路,210200
海淀北部新区,110000
金霞,430100
福州北路,370200
金沙湖,330100
瓜沥组合,330100
马甸,110000
解放路,120000
刘家窑,110000
黄龙,330100
四季青,330100
白马湖,330100
人和,500000
北塘街,120000
CBD,110000
百仕达,440300
万达,330100
五山,440100
海富,210200
康桥,330100
杨家门,330100
马场街,120000
大直沽,120000
万新街,120000
花都大道,510100
建德商圈,330100
江南大道,440100
大团镇,310000
大江东,330100
下瓦房,120000
鼓楼大街,110000
四新,420100
湘湖,330100
万兴街,120000
第一大街,120000
动物园,510100
西彭,500000
九宫庙,500000
华苑,120000
张家窝,120000
江宁大学城,320100
黄泥磅,500000
工业大道中,440100
凌水,210200
金泽,310000
三阳路,420100
西山水库,210200
陈家镇,310000
甪直,320500
双井,110000
温江大学城,510100
保利公园,510100
太平,320500
拱宸桥,330100
临平新城,330100
工体,110000
洋桥,110000
回龙观,110000
科技园,440300
紫荆,510100
汽车南站,430100
小昆山,310000
山水,330100
惠新西街,110000
西直门,110000
三圣乡,510100
天府长城,510100
郫县城区,510100
天河北,440100
向阳路,120000
三槐路街,120000
胡家园,120000
南山中心,440300
广园路,440100
同和,440100
天竺,110000
文晖,330100
南坪,500000
五里店,500000
融汇半岛,500000
赵公口,110000
通州其它,110000
石牌,440100
同德围,440100
崇明新城,310000
枣儿山,370200
螃蟹甲,420100
古田,420100
机场区,350200
广都,510100
建设路,440100
福元西路,430100
伍家岭,430100
大纺,210200
南沙,210200
西兴,330100
鸿顺里街,120000
海淀其它,110000
秦虹,320100
滨河西区,110000
湖南路,320100
凤凰山,330100
玉桥,110000
金尚,350200
华侨城,440300
太升路,510100
华乐,210200
井湾子,430100
三墩,330100
门头沟其它,110000
八角,110000
淘金,440100
塘河,330100
银湖,440300
东大路,510100
鼓楼街,120000
宁海路,320100
雅居乐,510100
马王堆,430100
二七,210200
竹叶山花桥,420100
拱北,330100
化龙桥,500000
木樨地,110000
五棵松,110000
首都机场,110000
珠江路,320100
南洲,440100
月湖,430100
田村,110000
龙湾,510100
漕泾,310000
车坊,320500
龙西,320500
白塘,320500
南门,320500
松陵,320500
金虹桥,310000
吴泾,310000
静安新城,310000
马桥,310000
浦江,310000
平江路,320500
华漕,310000
七宝,310000
龙柏,310000
湖西CBD,320500
莘庄,310000
颛桥,310000
华泾,310000
娄葑,320500
斜塘,320500
龙华,310000
田林,310000
徐汇滨江,310000
曹杨,310000
尹山湖,320500
青剑湖,320500
天山,310000
长征,310000
真如,310000
中山公园,310000
桃浦,310000
光新,310000
万里,310000
古北,310000
虹桥,310000
西郊,310000
新华路,310000
武宁,310000
江宁路,310000
曹家渡,310000
南京西路,310000
大华,310000
淞宝,310000
湖东CBD,320500
沧浪新城,320500
唯亭,320500
太湖新城（吴江）,320500
西渡,310000
彭浦,310000
打浦桥,310000
御桥,310000
通河,310000
共富,310000
九亭,310000
共康,310000
世博滨江,310000
佘山,310000
松江新城,310000
新桥,310000
老西门,310000
人民广场,310000
玲珑,320500
北新泾,310000
镇宁路,310000
北外滩,310000
临平路,310000
凉城,310000
四川北路,310000
曲阳,310000
南京东路,310000
蓬莱公园,310000
航华,310000
董家渡,310000
豫园,310000
新天地,310000
五里桥,310000
淮海中路,310000
梅陇,310000
衡山路,310000
春申,310000
老闵行,310000
金汇,310000
古美,310000
斜土路,310000
建国西路,310000
万体馆,310000
植物园,310000
长桥,310000
华东理工,310000
东外滩,310000
黄兴公园,310000
鞍山,310000
周家嘴路,310000
五角场,310000
新江湾城,310000
中原,310000
北蔡,310000
泥城镇,310000
大宁,310000
不夜城,310000
花木,310000
书院镇,310000
西藏北路,310000
永和,310000
观前街,320500
木渎,320500
阳澄湖,320500
双湖,320500
郭巷,320500
苏苑,320500
娄门,320500
苏州大学,320500
金桥,310000
陆家嘴,310000
桃花坞,320500
胥口,320500
石路,320500
西山,320500
胜浦,320500
城南,320500
东沙湖,320500
横塘,320500
胥江,320500
狮山,320500
独墅湖高教区,320500
三林,310000
世博,310000
塘桥,310000
越溪,320500
浒关,320500
跨塘,320500
外高桥,310000
张江,310000
元和,320500
十全街,320500
湖东,320500
大场镇,310000
高境,310000
顾村,310000
罗店,310000
杨行,310000
罗泾,310000
海湾,310000
上大,310000
淞南,310000
嘉定新城,310000
月浦,310000
张庙,310000
南桥,310000
奉贤金汇,310000
奉城,310000
青村,310000
四团,310000
江湾镇,310000
柘林,310000
庄行,310000
鲁迅公园,310000
黄浦滨江,310000
安亭,310000
丰庄,310000
嘉定老城,310000
江桥,310000
碧云,310000
曹路,310000
菊园新区,310000
惠南,310000
马陆,310000
金杨,310000
南翔,310000
外冈,310000
徐行,310000
静安寺,310000
川沙,310000
高东,310000
高行,310000
南码头,310000
航头,310000
合庆,310000
康桥,310000
联洋,310000
临港新城,310000
唐镇,310000
潍坊,310000
真光,310000
新场,310000
宣桥,310000
杨东,310000
洋泾,310000
源深,310000
甘泉宜川,310000
周浦,310000
祝桥,310000
徐家汇,310000
长风,310000
长寿路,310000
中远两湾城,310000
白鹤,310000
华新,310000
夏阳,310000
香花桥,310000
闸北公园,310000
徐泾,310000
盈浦,310000
赵巷,310000
重固,310000
控江路,310000
朱家角,310000
仙霞,310000
车墩,310000
莘闵别墅,310000
阳城,310000
浒墅关经济技术开发区,320500
活力岛,320500
黄桥,320500
泗泾,310000
松江大学城,310000
金门,320500
香山,320500
松江老城,310000
漕河泾,310000
康健,310000
上海南站,310000
昆山,320500
渭塘,320500
新成路,310000
上海周边,310000
葑门,320500
东环,320500
金阊新城,320500
留园西园,320500
齐门,320500
平江新城,320500
枫桥,320500
